x,y,shape
1159,257,Filamentosa
1545,253,Filamentosa
985,251,Esférica/Redonda
566,251,Esférica/Redonda
566,247,Esférica/Redonda
560,247,Filamentosa
564,246,Esférica/Redonda
959,242,Filamentosa
956,242,Filamentosa
1227,239,Esférica/Redonda
1496,234,Esférica/Redonda
1246,234,Ovalada/Elíptica
1492,233,Ovalada/Elíptica
1629,229,Esférica/Redonda
484,228,Filamentosa
527,227,Filamentosa
821,225,Esférica/Redonda
1626,223,Filamentosa
817,222,Filamentosa
714,222,Filamentosa
821,221,Filamentosa
176,220,Esférica/Redonda
1066,218,Esférica/Redonda
1063,218,Filamentosa
178,216,Esférica/Redonda
1418,212,Esférica/Redonda
1414,211,Ovalada/Elíptica
1399,210,Ovalada/Elíptica
772,209,Esférica/Redonda
1385,206,Esférica/Redonda
1302,204,Esférica/Redonda
232,204,Esférica/Redonda
1223,202,Filamentosa
1220,201,Filamentosa
639,187,Filamentosa
642,184,Esférica/Redonda
456,184,Esférica/Redonda
1173,180,Filamentosa
1169,178,Esférica/Redonda
214,178,Esférica/Redonda
454,177,Filamentosa
1271,175,Esférica/Redonda
839,174,Esférica/Redonda
216,174,Ovalada/Elíptica
1270,173,Esférica/Redonda
1265,173,Filamentosa
874,173,Esférica/Redonda
1479,165,Ovalada/Elíptica
965,165,Filamentosa
1203,164,Filamentosa
271,163,Filamentosa
1199,162,Esférica/Redonda
569,160,Filamentosa
445,160,Esférica/Redonda
778,142,Ovalada/Elíptica
777,141,Filamentosa
649,135,Esférica/Redonda
785,134,Esférica/Redonda
780,133,Filamentosa
651,131,Filamentosa
1631,128,Filamentosa
1577,126,Filamentosa
1557,125,Esférica/Redonda
1555,123,Ovalada/Elíptica
246,122,Esférica/Redonda
1551,119,Ovalada/Elíptica
1118,116,Esférica/Redonda
1572,107,Filamentosa
1502,106,Esférica/Redonda
1182,98,Filamentosa
1186,97,Esférica/Redonda
536,96,Ovalada/Elíptica
1377,87,Esférica/Redonda
1240,80,Filamentosa
280,79,Esférica/Redonda
619,77,Filamentosa
615,77,Filamentosa
283,74,Filamentosa
540,67,Esférica/Redonda
536,67,Filamentosa
13,56,Esférica/Redonda
137,51,Esférica/Redonda
1289,50,Filamentosa
139,50,Ovalada/Elíptica
1284,49,Filamentosa
1175,48,Filamentosa
645,47,Filamentosa
1239,38,Esférica/Redonda
593,36,Filamentosa
1239,34,Esférica/Redonda
1233,33,Filamentosa
609,26,Filamentosa
916,22,Filamentosa
1318,21,Esférica/Redonda
912,21,Filamentosa
1319,19,Esférica/Redonda
1314,17,Esférica/Redonda
1547,9,Esférica/Redonda
806,8,Esférica/Redonda
110,7,Filamentosa
113,4,Esférica/Redonda
805,0,Esférica/Redonda
